Date,Branch,Customer type,Gender,Product line,Unit price,Quantity,Payment,Rating
1/22/2024,Queens,Member,Female,Health & Beauty,81.51,1,Ewallet,9.2
1/22/2024,Queens,Member,Male,Home & Lifestyle,39.39,5,Credit card,8.7
1/22/2024,Brooklyn,Normal,Female,Food & Beverages,28.86,5,Credit card,8
1/22/2024,Manhattan,Normal,Male,Home & Lifestyle,30.68,3,Ewallet,9.1
1/22/2024,Brooklyn,Normal,Female,Health & Beauty,55.81,6,Cash,9.9
1/22/2024,Manhattan,Normal,Male,Home & Lifestyle,74.67,9,Ewallet,9.4
1/23/2024,Manhattan,Member,Female,Health & Beauty,95.95,5,Ewallet,8.8
1/23/2024,Queens,Normal,Female,Electronics,84.05,3,Cash,9.8
1/23/2024,Manhattan,Member,Female,Food & Beverages,47.63,9,Cash,5
1/23/2024,Queens,Member,Female,Sports & Travel,89.8,10,Credit card,5.4
1/23/2024,Manhattan,Normal,Female,Electronics,66.06,6,Cash,7.3
1/23/2024,Queens,Member,Female,Home & Lifestyle,83.77,6,Ewallet,5.4
1/23/2024,Queens,Member,Female,Home & Lifestyle,47.38,4,Cash,7.1
1/23/2024,Manhattan,Normal,Male,Health & Beauty,58.15,4,Cash,8.4
1/23/2024,Queens,Normal,Male,Health & Beauty,99.96,7,Cash,6.1
1/23/2024,Manhattan,Member,Male,Fashion & Accs,17.94,5,Ewallet,6.8
1/23/2024,Queens,Member,Male,Food & Beverages,38.47,8,Cash,7.7
1/23/2024,Queens,Normal,Female,Fashion & Accs,45.44,7,Cash,9.2
1/23/2024,Queens,Normal,Female,Health & Beauty,10.99,5,Credit card,9.3
1/23/2024,Manhattan,Normal,Male,Fashion & Accs,30.61,1,Ewallet,5.2
1/23/2024,Queens,Normal,Male,Electronics,83.08,1,Ewallet,6.4
1/23/2024,Queens,Normal,Male,Food & Beverages,19.25,8,Ewallet,6.6
1/23/2024,Manhattan,Member,Male,Food & Beverages,98.53,6,Credit card,4
1/24/2024,Queens,Member,Male,Home & Lifestyle,85.72,3,Ewallet,5.1
1/24/2024,Manhattan,Member,Male,Fashion & Accs,86.68,8,Credit card,7.2
1/24/2024,Manhattan,Member,Female,Electronics,48.62,8,Cash,5
1/24/2024,Queens,Member,Female,Home & Lifestyle,60.87,1,Cash,5.5
1/24/2024,Brooklyn,Normal,Male,Home & Lifestyle,73.28,5,Ewallet,8.4
1/24/2024,Manhattan,Normal,Female,Health & Beauty,77.5,5,Ewallet,4.3
1/24/2024,Manhattan,Normal,Male,Sports & Travel,78.77,10,Cash,6.4
1/24/2024,Brooklyn,Normal,Female,Sports & Travel,76.6,10,Ewallet,6
1/24/2024,Manhattan,Normal,Male,Electronics,10.56,8,Cash,7.6
1/24/2024,Brooklyn,Member,Male,Electronics,40.3,10,Credit card,7
1/24/2024,Brooklyn,Member,Female,Sports & Travel,23.08,6,Ewallet,4.9
1/24/2024,Brooklyn,Member,Male,Fashion & Accs,93.22,3,Cash,7.2
1/24/2024,Brooklyn,Normal,Male,Electronics,75.88,7,Ewallet,8.9
1/25/2024,Brooklyn,Normal,Female,Fashion & Accs,60.96,2,Credit card,4.9
1/25/2024,Brooklyn,Normal,Female,Food & Beverages,48.51,7,Credit card,5.2
1/25/2024,Manhattan,Member,Male,Home & Lifestyle,60.01,4,Cash,4.5
1/25/2024,Brooklyn,Normal,Male,Health & Beauty,96.11,1,Ewallet,7.8
1/25/2024,Brooklyn,Member,Male,Health & Beauty,51.13,4,Credit card,4
1/25/2024,Manhattan,Member,Female,Sports & Travel,40.05,4,Cash,9.7
1/25/2024,Brooklyn,Normal,Male,Sports & Travel,21.87,2,Ewallet,6.9
1/25/2024,Queens,Member,Male,Fashion & Accs,15.43,1,Credit card,6.1
1/25/2024,Manhattan,Member,Male,Home & Lifestyle,53.3,3,Ewallet,7.5
1/25/2024,Brooklyn,Normal,Female,Fashion & Accs,39.62,7,Cash,7.5
1/25/2024,Queens,Member,Female,Fashion & Accs,84.87,3,Ewallet,7.4
1/25/2024,Queens,Member,Male,Health & Beauty,90.5,10,Cash,8.1
1/25/2024,Manhattan,Normal,Male,Electronics,26.23,9,Ewallet,5.9
1/25/2024,Queens,Member,Female,Sports & Travel,70.19,9,Cash,6.7
1/25/2024,Queens,Normal,Male,Health & Beauty,34.31,8,Ewallet,5.7
1/25/2024,Manhattan,Normal,Male,Fashion & Accs,74.1,1,Cash,9.2
1/25/2024,Brooklyn,Normal,Female,Food & Beverages,88.36,5,Cash,9.6
1/26/2024,Brooklyn,Member,Male,Food & Beverages,80.05,5,Credit card,9.4
1/26/2024,Brooklyn,Member,Male,Health & Beauty,69.37,9,Ewallet,4
1/26/2024,Queens,Normal,Female,Fashion & Accs,64.99,1,Credit card,4.5
1/26/2024,Manhattan,Normal,Female,Fashion & Accs,12.09,1,Credit card,8.2
1/26/2024,Brooklyn,Normal,Male,Electronics,87.08,7,Cash,5.5
1/26/2024,Brooklyn,Normal,Male,Home & Lifestyle,25.55,4,Ewallet,5.7
1/26/2024,Brooklyn,Member,Female,Food & Beverages,78.88,2,Cash,9.1
1/26/2024,Brooklyn,Normal,Male,Food & Beverages,33.33,2,Credit card,6.4
1/26/2024,Manhattan,Normal,Male,Electronics,51.69,7,Cash,5.5
1/26/2024,Brooklyn,Normal,Female,Sports & Travel,51.54,5,Cash,4.2
1/26/2024,Brooklyn,Normal,Female,Food & Beverages,96.68,3,Ewallet,6.4
1/26/2024,Queens,Member,Male,Health & Beauty,33.81,3,Ewallet,7.3
1/26/2024,Manhattan,Normal,Male,Fashion & Accs,21.32,1,Cash,5.9
1/26/2024,Queens,Normal,Female,Sports & Travel,44.86,10,Ewallet,8.2
1/26/2024,Brooklyn,Normal,Female,Fashion & Accs,37.95,10,Cash,9.7
1/26/2024,Brooklyn,Normal,Female,Fashion & Accs,81.37,2,Cash,6.5
1/26/2024,Queens,Normal,Female,Fashion & Accs,36.85,5,Cash,9.2
1/27/2024,Manhattan,Member,Male,Electronics,73.26,1,Ewallet,9.7
1/27/2024,Queens,Member,Female,Fashion & Accs,54.07,9,Ewallet,9.5
1/27/2024,Queens,Normal,Female,Sports & Travel,14.36,10,Cash,5.4
1/27/2024,Queens,Normal,Female,Food & Beverages,90.24,6,Cash,6.2
1/27/2024,Queens,Member,Female,Electronics,46.57,10,Cash,7.6
1/27/2024,Brooklyn,Normal,Female,Home & Lifestyle,49.01,10,Credit card,4.2
1/27/2024,Manhattan,Member,Male,Health & Beauty,58.22,8,Ewallet,8.4
1/27/2024,Manhattan,Normal,Female,Sports & Travel,32.25,5,Cash,9
1/27/2024,Brooklyn,Member,Male,Health & Beauty,96.16,4,Credit card,8.4
1/27/2024,Queens,Normal,Male,Home & Lifestyle,69.4,2,Ewallet,9
1/27/2024,Manhattan,Normal,Female,Home & Lifestyle,12.03,2,Cash,5.1
1/27/2024,Manhattan,Normal,Male,Food & Beverages,81.71,6,Credit card,8
1/27/2024,Queens,Member,Female,Home & Lifestyle,24.24,7,Ewallet,9.4
1/27/2024,Manhattan,Normal,Female,Fashion & Accs,54.28,7,Ewallet,9.3
1/28/2024,Queens,Normal,Female,Home & Lifestyle,69.81,4,Credit card,5.9
1/28/2024,Brooklyn,Normal,Male,Health & Beauty,99.16,8,Credit card,4.2
1/28/2024,Brooklyn,Member,Female,Health & Beauty,19.15,1,Credit card,9.5
1/28/2024,Queens,Normal,Female,Sports & Travel,80.97,8,Cash,9.3
1/28/2024,Manhattan,Normal,Male,Food & Beverages,11.53,7,Cash,8.1
1/28/2024,Queens,Normal,Female,Fashion & Accs,23.82,5,Ewallet,5.4
1/28/2024,Brooklyn,Member,Female,Electronics,21.43,10,Cash,6.2
1/28/2024,Queens,Normal,Male,Health & Beauty,17.41,5,Credit card,4.9
1/28/2024,Brooklyn,Member,Male,Sports & Travel,78.07,9,Cash,4.5
1/28/2024,Brooklyn,Member,Male,Health & Beauty,75.37,8,Credit card,8.4
1/28/2024,Queens,Member,Male,Electronics,18.77,6,Credit card,5.5
1/28/2024,Brooklyn,Member,Female,Health & Beauty,72.11,9,Credit card,7.7
1/28/2024,Manhattan,Member,Male,Electronics,24.18,8,Ewallet,9.8
1/28/2024,Queens,Member,Male,Health & Beauty,86.8,3,Ewallet,9.9
1/29/2024,Brooklyn,Member,Male,Fashion & Accs,32.62,4,Cash,9
1/29/2024,Queens,Normal,Male,Electronics,58.76,10,Ewallet,9
1/29/2024,Manhattan,Member,Female,Sports & Travel,22.01,4,Credit card,6.6
1/29/2024,Manhattan,Normal,Male,Electronics,38.6,1,Ewallet,6.7
1/29/2024,Queens,Normal,Male,Health & Beauty,40.35,1,Ewallet,6.2
1/29/2024,Manhattan,Member,Female,Sports & Travel,27.93,5,Cash,5.9
1/29/2024,Queens,Normal,Male,Fashion & Accs,42.08,6,Cash,8.9
1/29/2024,Brooklyn,Normal,Female,Food & Beverages,84.05,6,Credit card,7.7
1/29/2024,Queens,Member,Female,Sports & Travel,19.15,6,Credit card,6.8
1/29/2024,Brooklyn,Member,Male,Sports & Travel,26.67,10,Cash,8.6
1/29/2024,Manhattan,Member,Female,Home & Lifestyle,87.37,5,Cash,6.6
1/29/2024,Manhattan,Normal,Male,Fashion & Accs,83.24,9,Credit card,7.4
1/30/2024,Queens,Normal,Male,Home & Lifestyle,22.96,1,Cash,4.3
1/30/2024,Brooklyn,Normal,Female,Electronics,23.65,4,Credit card,4
1/30/2024,Manhattan,Member,Male,Electronics,93.78,3,Credit card,5.9
